tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Liquibase-R,Scen2,18,0,3824589420,0,0,0,0,100.0
Liquibase-R,Scen2,17,0,44386781661,0,0,0,0,100.0
Liquibase-R,Scen2,16,0,4023477909,0,0,0,0,100.0
Liquibase-R,Scen2,15,0,4104631398,0,0,0,0,100.0
Liquibase-R,Scen2,14,0,3978402320,0,0,0,0,100.0
Liquibase,Scen2,14,3887163750,0,0,0,0,0,100.0
Liquibase,Scen2,15,3885842199,0,0,0,0,0,100.0
Liquibase,Scen2,16,3924901950,0,0,0,0,0,100.0
Liquibase,Scen2,17,40649153001,0,0,0,0,0,100.0
Liquibase,Scen2,18,3996890313,0,0,0,0,0,100.0
Liquibase,Scen2,19,5622394691,0,0,0,0,0,100.0
Liquibase,Scen2,20,4006376001,0,0,0,0,0,100.0
Liquibase,Scen2,21,4151622593,0,0,0,0,0,100.0
Liquibase,Scen2,22,4039648110,0,0,0,0,0,100.0
Liquibase,Scen2,23,6370388635,0,0,0,0,0,100.0
Liquibase-R,Scen2,23,0,3700439765,0,0,0,0,100.0
Liquibase-R,Scen2,22,0,3820530544,0,0,0,0,100.0
Liquibase-R,Scen2,21,0,3867016642,0,0,0,0,100.0
Liquibase-R,Scen2,20,0,3779282773,0,0,0,0,100.0
Liquibase-R,Scen2,19,0,3879263232,0,0,0,0,100.0
Liquibase-R,Scen2,18,0,3779931722,0,0,0,0,100.0
Liquibase-R,Scen2,17,0,42066521053,0,0,0,0,100.0
Liquibase-R,Scen2,16,0,5543465606,0,0,0,0,100.0
Liquibase-R,Scen2,15,0,4607157709,0,0,0,0,100.0
Liquibase-R,Scen2,14,0,5134962988,0,0,0,0,100.0
Liquibase,Scen2,14,3858699389,0,0,0,0,0,100.0
Liquibase,Scen2,15,3923975250,0,0,0,0,0,100.0
Liquibase,Scen2,16,3833834756,0,0,0,0,0,100.0
Liquibase,Scen2,17,42350565900,0,0,0,0,0,100.0
Liquibase,Scen2,18,4378682673,0,0,0,0,0,100.0
Liquibase,Scen2,19,5071212676,0,0,0,0,0,100.0
Liquibase,Scen2,20,4030820557,0,0,0,0,0,100.0
Liquibase,Scen2,21,4190638332,0,0,0,0,0,100.0
Liquibase,Scen2,22,3842385417,0,0,0,0,0,100.0
Liquibase,Scen2,23,5333991046,0,0,0,0,0,100.0
Liquibase-R,Scen2,23,0,3894737756,0,0,0,0,100.0
Liquibase-R,Scen2,22,0,3841802000,0,0,0,0,100.0
Liquibase-R,Scen2,21,0,3807330965,0,0,0,0,100.0
Liquibase-R,Scen2,20,0,4005725273,0,0,0,0,100.0
Liquibase-R,Scen2,19,0,3967002402,0,0,0,0,100.0
Liquibase-R,Scen2,18,0,4151270469,0,0,0,0,100.0
Liquibase-R,Scen2,17,0,44686098801,0,0,0,0,100.0
Liquibase-R,Scen2,16,0,4076184770,0,0,0,0,100.0
Liquibase-R,Scen2,15,0,4428956842,0,0,0,0,100.0
Liquibase-R,Scen2,14,0,5156864348,0,0,0,0,100.0
Liquibase,Scen2,14,3913280510,0,0,0,0,0,100.0
Liquibase,Scen2,15,3950488669,0,0,0,0,0,100.0
Liquibase,Scen2,16,3750493595,0,0,0,0,0,100.0
Liquibase,Scen2,17,40848951944,0,0,0,0,0,100.0
Liquibase,Scen2,18,4082112312,0,0,0,0,0,100.0
Liquibase,Scen2,19,5325319139,0,0,0,0,0,100.0
Liquibase,Scen2,20,4183355406,0,0,0,0,0,100.0
Liquibase,Scen2,21,4262219803,0,0,0,0,0,100.0
