tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Flyway-R,Scen2,15,0,294310413,0,1,0,0,100.0
Flyway,Scen2,15,1889441978,0,0,13,0,0,100.0
Flyway,Scen2,16,2138928216,0,0,3,0,0,100.0
Flyway,Scen2,17,2141298806,0,0,3,0,0,100.0
Flyway,Scen2,18,40040045088,0,0,10,0,0,100.0
Flyway,Scen2,19,2348771586,0,0,6,0,0,100.0
Flyway,Scen2,20,5221446294,0,0,2,0,0,100.0
Flyway,Scen2,21,7114025020,0,0,3,0,0,100.0
Flyway,Scen2,22,2273705284,0,0,2,0,0,100.0
Flyway,Scen2,23,2118676439,0,0,3,0,0,100.0
Flyway,Scen2,24,3161953365,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,80794202,0,2,0,0,100.0
Flyway-R,Scen2,23,0,152481130,0,2,0,0,100.0
Flyway-R,Scen2,22,0,78402848,0,2,0,0,100.0
Flyway-R,Scen2,21,0,273941254,0,2,0,0,100.0
Flyway-R,Scen2,20,0,78368092,0,2,0,0,100.0
Flyway-R,Scen2,19,0,135200244,0,1,0,0,100.0
Flyway-R,Scen2,18,0,22938366733,0,54,0,0,100.0
Flyway-R,Scen2,17,0,125182081,0,1,0,0,100.0
Flyway-R,Scen2,16,0,184873353,0,1,0,0,100.0
Flyway-R,Scen2,15,0,1375455580,0,1,0,0,100.0
Flyway,Scen2,15,2048868255,0,0,13,0,0,100.0
Flyway,Scen2,16,2120258801,0,0,3,0,0,100.0
Flyway,Scen2,17,2088116754,0,0,3,0,0,100.0
Flyway,Scen2,18,40763390159,0,0,10,0,0,100.0
Flyway,Scen2,19,2303555580,0,0,6,0,0,100.0
Flyway,Scen2,20,4010593521,0,0,2,0,0,100.0
Flyway,Scen2,21,2069901943,0,0,3,0,0,100.0
Flyway,Scen2,22,2212606252,0,0,2,0,0,100.0
Flyway,Scen2,23,2217352473,0,0,3,0,0,100.0
Flyway,Scen2,24,5914968499,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,81721109,0,2,0,0,100.0
Flyway-R,Scen2,23,0,94340476,0,2,0,0,100.0
Flyway-R,Scen2,22,0,82709531,0,2,0,0,100.0
Flyway-R,Scen2,21,0,93626462,0,2,0,0,100.0
Flyway-R,Scen2,20,0,82302360,0,2,0,0,100.0
Flyway-R,Scen2,19,0,93424396,0,1,0,0,100.0
Flyway-R,Scen2,18,0,18220679338,0,54,0,0,100.0
Flyway-R,Scen2,17,0,109730621,0,1,0,0,100.0
Flyway-R,Scen2,16,0,119757065,0,1,0,0,100.0
Flyway-R,Scen2,15,0,295386750,0,1,0,0,100.0
Flyway,Scen2,15,1918541669,0,0,13,0,0,100.0
Flyway,Scen2,16,2142159438,0,0,3,0,0,100.0
Flyway,Scen2,17,2150367954,0,0,3,0,0,100.0
Flyway,Scen2,18,41927020603,0,0,10,0,0,100.0
Flyway,Scen2,19,2394159126,0,0,6,0,0,100.0
Flyway,Scen2,20,3133253666,0,0,2,0,0,100.0
Flyway,Scen2,21,3807667848,0,0,3,0,0,100.0
Flyway,Scen2,22,2257793999,0,0,2,0,0,100.0
Flyway,Scen2,23,2207075137,0,0,3,0,0,100.0
Flyway,Scen2,24,3316677413,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,80452076,0,2,0,0,100.0
Flyway-R,Scen2,23,0,98404975,0,2,0,0,100.0
Flyway-R,Scen2,22,0,78969950,0,2,0,0,100.0
Flyway-R,Scen2,21,0,157617119,0,2,0,0,100.0
Flyway-R,Scen2,20,0,80881939,0,2,0,0,100.0
Flyway-R,Scen2,19,0,118728118,0,1,0,0,100.0
Flyway-R,Scen2,18,0,23353526267,0,54,0,0,100.0
Flyway-R,Scen2,17,0,126971447,0,1,0,0,100.0
Flyway-R,Scen2,16,0,190766781,0,1,0,0,100.0
Flyway-R,Scen2,15,0,291621086,0,1,0,0,100.0
Flyway,Scen2,15,2067544789,0,0,13,0,0,100.0
Flyway,Scen2,16,2168764624,0,0,3,0,0,100.0
Flyway,Scen2,17,2171577496,0,0,3,0,0,100.0
Flyway,Scen2,18,40447731068,0,0,10,0,0,100.0
Flyway,Scen2,19,2336967922,0,0,6,0,0,100.0
Flyway,Scen2,20,2697620410,0,0,2,0,0,100.0
Flyway,Scen2,21,2017872061,0,0,3,0,0,100.0
Flyway,Scen2,22,2210104686,0,0,2,0,0,100.0
Flyway,Scen2,23,2286915576,0,0,3,0,0,100.0
Flyway,Scen2,24,3328500874,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,78234951,0,2,0,0,100.0
Flyway-R,Scen2,23,0,95551655,0,2,0,0,100.0
Flyway-R,Scen2,22,0,83084331,0,2,0,0,100.0
Flyway-R,Scen2,21,0,91583273,0,2,0,0,100.0
Flyway-R,Scen2,20,0,80992159,0,2,0,0,100.0
Flyway-R,Scen2,19,0,91328430,0,1,0,0,100.0
