tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Flyway-R,Scen1,6,0,1351722419,0,5,0,0,100.0
Flyway-R,Scen1,5,0,76773651,0,1,0,0,100.0
Flyway-R,Scen1,4,0,78570477,0,1,0,0,100.0
Flyway-R,Scen1,3,0,1121348001,0,2,0,0,100.0
Flyway-R,Scen1,2,0,76022133,0,2,0,0,100.0
Flyway,Scen1,2,1897172995,0,0,2,0,0,100.0
Flyway,Scen1,3,2977070880,0,0,2,0,0,100.0
Flyway,Scen1,4,1891199199,0,0,19,0,0,100.0
Flyway,Scen1,5,1835690865,0,0,5,0,0,100.0
Flyway,Scen1,6,1984464559,0,0,2,0,0,100.0
Flyway,Scen1,7,1882738439,0,0,2,0,0,100.0
Flyway,Scen1,8,3144623033,0,0,4,0,0,100.0
Flyway,Scen1,9,1949887242,0,0,18,0,0,100.0
Flyway,Scen1,10,1865143288,0,0,4,0,0,100.0
Flyway,Scen1,11,2109378127,0,0,1,0,0,100.0
Flyway,Scen1,12,1952184923,0,0,8,0,0,100.0
Flyway,Scen1,13,2025208239,0,0,22,0,0,100.0
Flyway,Scen1,14,2630927393,0,0,2,0,0,100.0
Flyway-R,Scen1,14,0,100416963,0,1,0,0,100.0
Flyway-R,Scen1,13,0,86629730,0,2,0,0,100.0
Flyway-R,Scen1,12,0,78245954,0,1,0,0,100.0
Flyway-R,Scen1,11,0,77375991,0,1,0,0,100.0
Flyway-R,Scen1,10,0,78365011,0,1,0,0,100.0
Flyway-R,Scen1,9,0,77132616,0,1,0,0,100.0
Flyway-R,Scen1,8,0,1208433252,0,3,0,0,100.0
Flyway-R,Scen1,7,0,78910704,0,24,0,0,100.0
Flyway-R,Scen1,6,0,1363670563,0,5,0,0,100.0
Flyway-R,Scen1,5,0,81355875,0,1,0,0,100.0
Flyway-R,Scen1,4,0,79212750,0,1,0,0,100.0
Flyway-R,Scen1,3,0,1197017120,0,2,0,0,100.0
Flyway-R,Scen1,2,0,76810462,0,2,0,0,100.0
Flyway,Scen1,2,1834587466,0,0,2,0,0,100.0
Flyway,Scen1,3,2932213881,0,0,2,0,0,100.0
Flyway,Scen1,4,1847899231,0,0,19,0,0,100.0
Flyway,Scen1,5,1844779747,0,0,5,0,0,100.0
Flyway,Scen1,6,1889842865,0,0,2,0,0,100.0
Flyway,Scen1,7,1932053712,0,0,2,0,0,100.0
Flyway,Scen1,8,3125686093,0,0,4,0,0,100.0
Flyway,Scen1,9,1909840504,0,0,18,0,0,100.0
Flyway,Scen1,10,1996760745,0,0,4,0,0,100.0
Flyway,Scen1,11,2129669412,0,0,1,0,0,100.0
Flyway,Scen1,12,1794692067,0,0,8,0,0,100.0
Flyway,Scen1,13,1998475810,0,0,22,0,0,100.0
Flyway,Scen1,14,2361662755,0,0,2,0,0,100.0
Flyway-R,Scen1,14,0,75668964,0,1,0,0,100.0
Flyway-R,Scen1,13,0,76514039,0,2,0,0,100.0
Flyway-R,Scen1,12,0,76061787,0,1,0,0,100.0
Flyway-R,Scen1,11,0,77199816,0,1,0,0,100.0
Flyway-R,Scen1,10,0,75812352,0,1,0,0,100.0
Flyway-R,Scen1,9,0,76092299,0,1,0,0,100.0
Flyway-R,Scen1,8,0,1159470594,0,3,0,0,100.0
Flyway-R,Scen1,7,0,106642782,0,24,0,0,100.0
Flyway-R,Scen1,6,0,1286566897,0,5,0,0,100.0
Flyway-R,Scen1,5,0,77938906,0,1,0,0,100.0
Flyway-R,Scen1,4,0,77654407,0,1,0,0,100.0
Flyway-R,Scen1,3,0,1060676988,0,2,0,0,100.0
Flyway-R,Scen1,2,0,78202844,0,2,0,0,100.0
Flyway,Scen1,2,1937382235,0,0,2,0,0,100.0
Flyway,Scen1,3,2859515175,0,0,2,0,0,100.0
Flyway,Scen1,4,1865275056,0,0,19,0,0,100.0
Flyway,Scen1,5,1990198231,0,0,5,0,0,100.0
Flyway,Scen1,6,1820725799,0,0,2,0,0,100.0
Flyway,Scen1,7,1922975490,0,0,2,0,0,100.0
Flyway,Scen1,8,3003822355,0,0,4,0,0,100.0
Flyway,Scen1,9,1905612091,0,0,18,0,0,100.0
