tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Liquibase-R,Scen1,9,0,3830030773,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3755065333,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4862296650,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3737907403,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,4992127383,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3721189196,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3746467187,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4824295022,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3979786837,0,0,0,0,100.0
Liquibase,Scen1,1,3773812665,0,0,0,0,0,100.0
Liquibase,Scen1,2,4604464975,0,0,0,0,0,100.0
Liquibase,Scen1,3,3875638106,0,0,0,0,0,100.0
Liquibase,Scen1,4,3767633341,0,0,0,0,0,100.0
Liquibase,Scen1,5,3810309082,0,0,0,0,0,100.0
Liquibase,Scen1,6,3934825189,0,0,0,0,0,100.0
Liquibase,Scen1,7,4805880145,0,0,0,0,0,100.0
Liquibase,Scen1,8,3810439845,0,0,0,0,0,100.0
Liquibase,Scen1,9,3756121321,0,0,0,0,0,100.0
Liquibase,Scen1,10,4020788425,0,0,0,0,0,100.0
Liquibase,Scen1,11,4010867141,0,0,0,0,0,100.0
Liquibase,Scen1,12,3780909459,0,0,0,0,0,100.0
Liquibase,Scen1,13,4407909114,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3850447934,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3951168363,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3973699935,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3750566469,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3909591407,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3751412042,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4999508295,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3850261989,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5132025864,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3873773385,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3764866236,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4902523082,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3761585082,0,0,0,0,100.0
Liquibase,Scen1,1,3733686488,0,0,0,0,0,100.0
Liquibase,Scen1,2,4784188109,0,0,0,0,0,100.0
Liquibase,Scen1,3,3858820095,0,0,0,0,0,100.0
Liquibase,Scen1,4,4106170809,0,0,0,0,0,100.0
Liquibase,Scen1,5,3749387808,0,0,0,0,0,100.0
Liquibase,Scen1,6,3818614792,0,0,0,0,0,100.0
Liquibase,Scen1,7,4787073921,0,0,0,0,0,100.0
Liquibase,Scen1,8,3839636058,0,0,0,0,0,100.0
Liquibase,Scen1,9,3777519090,0,0,0,0,0,100.0
Liquibase,Scen1,10,3890962465,0,0,0,0,0,100.0
Liquibase,Scen1,11,3905196900,0,0,0,0,0,100.0
Liquibase,Scen1,12,3915314018,0,0,0,0,0,100.0
Liquibase,Scen1,13,4512262271,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3832607094,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3731634040,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3796986517,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3864562063,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3655408567,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3923859829,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4984006491,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3779610894,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5180925272,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3765996843,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3866901180,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4837967687,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3784715641,0,0,0,0,100.0
Liquibase,Scen1,1,3762676870,0,0,0,0,0,100.0
Liquibase,Scen1,2,4758640745,0,0,0,0,0,100.0
Liquibase,Scen1,3,3866056751,0,0,0,0,0,100.0
Liquibase,Scen1,4,3828721497,0,0,0,0,0,100.0
Liquibase,Scen1,5,3810701516,0,0,0,0,0,100.0
Liquibase,Scen1,6,3732129024,0,0,0,0,0,100.0
Liquibase,Scen1,7,4926587737,0,0,0,0,0,100.0
Liquibase,Scen1,8,3890196944,0,0,0,0,0,100.0
Liquibase,Scen1,9,3792586579,0,0,0,0,0,100.0
Liquibase,Scen1,10,4008869755,0,0,0,0,0,100.0
Liquibase,Scen1,11,3895610905,0,0,0,0,0,100.0
Liquibase,Scen1,12,3863974950,0,0,0,0,0,100.0
Liquibase,Scen1,13,4343608837,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3774034786,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3761124302,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3840315036,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3748574427,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3772581348,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3751982977,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4853269719,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3777626419,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5018350962,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3878094840,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3819838994,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4833866815,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3783451507,0,0,0,0,100.0
Liquibase,Scen1,1,3773317034,0,0,0,0,0,100.0
Liquibase,Scen1,2,4881456883,0,0,0,0,0,100.0
Liquibase,Scen1,3,3743489180,0,0,0,0,0,100.0
Liquibase,Scen1,4,3799560364,0,0,0,0,0,100.0
Liquibase,Scen1,5,3887470985,0,0,0,0,0,100.0
Liquibase,Scen1,6,3799961393,0,0,0,0,0,100.0
Liquibase,Scen1,7,5006449446,0,0,0,0,0,100.0
Liquibase,Scen1,8,3851873412,0,0,0,0,0,100.0
Liquibase,Scen1,9,3908405037,0,0,0,0,0,100.0
Liquibase,Scen1,10,4079606668,0,0,0,0,0,100.0
Liquibase,Scen1,11,4168625441,0,0,0,0,0,100.0
Liquibase,Scen1,12,3990635135,0,0,0,0,0,100.0
Liquibase,Scen1,13,4409555320,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3835713931,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3797122819,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3911701475,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,4019648431,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3656635496,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3632027657,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,5077613482,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3833865501,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5021094220,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3738430666,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3668707685,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4865001205,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3962212101,0,0,0,0,100.0
